region,measure,F,pvalue,fdr_significant,pvalue_corrected
7Networks_RH_DorsAttn_Post_7,gradient2,2.191367330642522,0.11896478149628084,False,0.3446333502956325
7Networks_RH_DorsAttn_Post_8,gradient2,1.6567908072282347,0.19774672387088776,False,0.44805357914100935
7Networks_RH_DorsAttn_Post_9,gradient2,0.6047030292356543,0.5489132918460653,False,0.7418484778440236
7Networks_RH_DorsAttn_PrCv_1,gradient2,1.364661685296041,0.26182010810840434,False,0.5141024071849937
7Networks_RH_DorsAttn_PrCv_2,gradient2,0.9558593425601777,0.38917697145551255,False,0.6314259755284447
7Networks_RH_DorsAttn_PrCv_3,gradient2,0.5794683342668052,0.562717504050068,False,0.753186878007813
7Networks_RH_Limbic_OFC_1,gradient2,0.4093061390861019,0.6656050790826409,False,0.8300111297913028
7Networks_RH_Limbic_OFC_10,gradient2,10.495394426756596,9.71311075772298e-05,True,0.004591652358196318
7Networks_RH_Limbic_OFC_11,gradient2,0.2672631757929007,0.7662072885965923,False,0.8824535771212136
7Networks_RH_Limbic_OFC_12,gradient2,1.59263556882345,0.21028077482397042,False,0.4634585047758017
7Networks_RH_Limbic_OFC_13,gradient2,1.3281702420529815,0.27120305458927596,False,0.5198156922970293
7Networks_RH_Limbic_OFC_14,gradient2,1.6765874425710148,0.19403600176985702,False,0.44476110703987365
7Networks_RH_Limbic_OFC_2,gradient2,0.24341295233093097,0.7845729100791238,False,0.8917550016199877
7Networks_RH_Limbic_OFC_3,gradient2,2.642458342311687,0.07789729666785161,False,0.27067945510979247
7Networks_RH_Limbic_OFC_4,gradient2,3.5136878012218866,0.03484961927619763,False,0.17853992141500266
7Networks_RH_Limbic_OFC_5,gradient2,0.8326532541336548,0.43892689231895965,False,0.6712344677359794
7Networks_RH_Limbic_OFC_6,gradient2,0.7184639610654228,0.4908692795146754,False,0.7047384941263107
7Networks_RH_Limbic_OFC_7,gradient2,1.8498349818249051,0.16446147779008144,False,0.4171705778089871
7Networks_RH_Limbic_OFC_8,gradient2,1.302165747105771,0.27809970791712946,False,0.5281328691943409
7Networks_RH_Limbic_OFC_9,gradient2,2.6363749547007402,0.07834088075773801,False,0.27067945510979247
7Networks_RH_Limbic_TempPole_1,gradient2,1.6335547977075267,0.2021952599672903,False,0.45417509798268235
7Networks_RH_Limbic_TempPole_10,gradient2,7.568137031401963,0.0010222520790163175,True,0.02005928607881076
7Networks_RH_Limbic_TempPole_11,gradient2,2.027892879456208,0.1388624844794431,False,0.3780549315670702
7Networks_RH_Limbic_TempPole_12,gradient2,2.6521770848568473,0.0771939776122121,False,0.27067945510979247
7Networks_RH_Limbic_TempPole_13,gradient2,1.9545238116388557,0.1488749050567331,False,0.3990461372654701
7Networks_RH_Limbic_TempPole_14,gradient2,1.0481190417933917,0.3557424540291527,False,0.6037873529490297
7Networks_RH_Limbic_TempPole_15,gradient2,3.716287240864798,0.028976205855512548,False,0.15614121290017124
7Networks_RH_Limbic_TempPole_16,gradient2,1.6149318498291907,0.2058347519774282,False,0.45879911118058286
7Networks_RH_Limbic_TempPole_17,gradient2,2.3521447919658764,0.10224279499282973,False,0.31741046803744155
7Networks_RH_Limbic_TempPole_2,gradient2,1.8080586675341082,0.17114050874374154,False,0.42991818621616235
7Networks_RH_Limbic_TempPole_3,gradient2,0.33857500038326305,0.713883645673877,False,0.8547727929903302
7Networks_RH_Limbic_TempPole_4,gradient2,2.886915236794116,0.062049334910511025,False,0.2463027034615705
7Networks_RH_Limbic_TempPole_5,gradient2,2.6425551563902956,0.07789025813897499,False,0.27067945510979247
7Networks_RH_Limbic_TempPole_6,gradient2,2.5730501940101473,0.08311536791999274,False,0.2805850264830347
7Networks_RH_Limbic_TempPole_7,gradient2,1.7509009732097542,0.18073282000617671,False,0.44019234849279576
7Networks_RH_Limbic_TempPole_8,gradient2,0.16679466709354782,0.8466906841238715,False,0.921261696474449
7Networks_RH_Limbic_TempPole_9,gradient2,7.052711654007836,0.0015720844477863434,True,0.02771131907962368
7Networks_RH_SalVentAttn_FrOperIns_1,gradient2,1.732613970418811,0.1839170170478452,False,0.44130402580307254
7Networks_RH_SalVentAttn_FrOperIns_10,gradient2,1.2491753369138159,0.29271634627269566,False,0.5388053099532806
7Networks_RH_SalVentAttn_FrOperIns_11,gradient2,0.09317104957401112,0.9111443541890623,False,0.9581295534445144
7Networks_RH_SalVentAttn_FrOperIns_12,gradient2,2.08976696902902,0.13095731970660793,False,0.3680962499861412
7Networks_RH_SalVentAttn_FrOperIns_13,gradient2,0.34276249450929225,0.7109276718688861,False,0.8547727929903302
7Networks_RH_SalVentAttn_FrOperIns_14,gradient2,0.0321598847841321,0.9683652713802823,False,0.9852154159644565
7Networks_RH_SalVentAttn_FrOperIns_15,gradient2,1.5638818892237,0.2161604621033733,False,0.4693254292014786
7Networks_RH_SalVentAttn_FrOperIns_16,gradient2,0.5288291225373706,0.5915047540584639,False,0.7786898028111424
7Networks_RH_SalVentAttn_FrOperIns_17,gradient2,1.7155422565046732,0.18694160714445737,False,0.4428716206598579
7Networks_RH_SalVentAttn_FrOperIns_18,gradient2,0.39138950709253145,0.6775080035680439,False,0.8386429571550189
7Networks_RH_SalVentAttn_FrOperIns_19,gradient2,0.33533398002043496,0.7161801625452718,False,0.8547727929903302
7Networks_RH_SalVentAttn_FrOperIns_2,gradient2,0.7642437433758672,0.46932585978193997,False,0.6923388569832873
7Networks_RH_SalVentAttn_FrOperIns_20,gradient2,1.2970458043157167,0.2794786548730524,False,0.5292467669949918
7Networks_RH_SalVentAttn_FrOperIns_21,gradient2,1.9220070809286869,0.1535466619642406,False,0.4005754563274816
7Networks_RH_SalVentAttn_FrOperIns_22,gradient2,1.7596295244197353,0.17923299040398752,False,0.43859367063564003
7Networks_RH_SalVentAttn_FrOperIns_23,gradient2,0.9457263737842654,0.3930407452978856,False,0.6337401164493038
7Networks_RH_SalVentAttn_FrOperIns_24,gradient2,1.273600633337962,0.28588338588314155,False,0.5347459016519195
7Networks_RH_SalVentAttn_FrOperIns_3,gradient2,0.7114322230400975,0.49426721856670996,False,0.7060960265238714
7Networks_RH_SalVentAttn_FrOperIns_4,gradient2,0.38853816436658556,0.6794223625427556,False,0.8386429571550189
7Networks_RH_SalVentAttn_FrOperIns_5,gradient2,0.12282348151463837,0.8845996829305194,False,0.942559238957688
7Networks_RH_SalVentAttn_FrOperIns_6,gradient2,0.8196968286271449,0.4445250045612642,False,0.6712344677359794
7Networks_RH_SalVentAttn_FrOperIns_7,gradient2,1.2955230956850632,0.279890117160813,False,0.5292467669949918
7Networks_RH_SalVentAttn_FrOperIns_8,gradient2,0.7261958600351403,0.4871606839864039,False,0.7017273010330471
7Networks_RH_SalVentAttn_FrOperIns_9,gradient2,0.5125092579262748,0.6011010861712753,False,0.7873364352873128
7Networks_RH_SalVentAttn_Med_1,gradient2,0.5132227076037787,0.6006782427864292,False,0.7873364352873128
7Networks_RH_SalVentAttn_Med_10,gradient2,2.596390218084445,0.081321757522147,False,0.2763876726242904
7Networks_RH_SalVentAttn_Med_11,gradient2,0.2793965530323716,0.7570341336160331,False,0.87686929390379
7Networks_RH_SalVentAttn_Med_12,gradient2,0.27555241377012346,0.759928134179404,False,0.8771645499962043
7Networks_RH_SalVentAttn_Med_13,gradient2,2.54632672701531,0.08521896116306457,False,0.28241288572024636
7Networks_RH_SalVentAttn_Med_14,gradient2,4.232527448042321,0.01817964467499968,False,0.12257889428491837
7Networks_RH_SalVentAttn_Med_15,gradient2,4.932856361948783,0.009748757579840374,False,0.08674937507500345
7Networks_RH_SalVentAttn_Med_16,gradient2,3.2377398880625425,0.04487674741361713,False,0.2056027194280256
7Networks_RH_SalVentAttn_Med_17,gradient2,1.197858903796196,0.3076238787710249,False,0.5592338583774606
7Networks_RH_SalVentAttn_Med_18,gradient2,0.01114668076063139,0.9889168733907162,False,0.9936942495906713
7Networks_RH_SalVentAttn_Med_19,gradient2,0.030411643218498367,0.9700582557188495,False,0.9852154159644565
7Networks_RH_SalVentAttn_Med_2,gradient2,1.1926107528862389,0.3091917966990768,False,0.5592338583774606
7Networks_RH_SalVentAttn_Med_20,gradient2,6.223274273360819,0.003176217763250904,True,0.04652487991240761
7Networks_RH_SalVentAttn_Med_3,gradient2,0.2977990373290393,0.743336091079569,False,0.8686174547446649
7Networks_RH_SalVentAttn_Med_4,gradient2,0.7439180654576354,0.4787684261320979,False,0.6966493748813934
7Networks_RH_SalVentAttn_Med_5,gradient2,2.324887005595737,0.10489792661941534,False,0.32253406936520584
7Networks_RH_SalVentAttn_Med_6,gradient2,1.0632183513360596,0.35055814075061537,False,0.5996389249681578
