measure,A,B,region,tstat,pvalue_corrected
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_20,0.5960521371967259,0.8294389295878782
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_21,-1.6145703858928737,0.3319800471366324
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_22,-1.3651364504100136,0.26451929377118105
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_23,-1.0484105961383017,0.4467924523386941
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_24,0.035324004862745194,0.9719164955608557
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_25,-0.6553002935722781,0.518829349098175
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_26,-0.9653323699279311,0.507131880390288
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_27,0.31513560618570097,0.7535456397105779
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_28,0.8652172780372681,0.5845737752502485
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_29,-1.2230580246634322,0.5479994302721853
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_3,2.802887952375365,0.019386888086856374
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_30,0.9332192001810933,0.5306127849802079
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_31,-1.4284276923333339,0.4677904590699011
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_32,0.6440628685377436,0.7822889915961249
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_4,3.2780687243870514,0.004781427414608138
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_5,2.7069925106209176,0.025278026986261245
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_6,1.4494273761698315,0.28918801809772327
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_7,2.652912970922336,0.029280522033702145
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_8,-0.12764250509005293,0.898778126117318
eccentricity,baseline,early,7Networks_LH_Default_pCunPCC_9,1.9130271122541185,0.15522356608619145
eccentricity,baseline,early,7Networks_LH_DorsAttn_FEF_1,-1.7547336820670538,0.2503323810483036
eccentricity,baseline,early,7Networks_LH_DorsAttn_FEF_2,-0.4843791603796223,0.9302869778520286
eccentricity,baseline,early,7Networks_LH_DorsAttn_FEF_3,-2.1829589737781765,0.09663335986774074
eccentricity,baseline,early,7Networks_LH_DorsAttn_FEF_4,-2.185234912537606,0.09611173888313507
eccentricity,baseline,early,7Networks_LH_DorsAttn_FEF_5,-3.0835156698501525,0.004311996551024976
eccentricity,baseline,early,7Networks_LH_DorsAttn_FEF_6,-2.0486850822853797,0.13211906370276502
eccentricity,baseline,early,7Networks_LH_DorsAttn_FEF_7,-0.7179408811435999,0.7736769410067824
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_1,0.41155718527327195,0.6818536124319856
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_10,-0.10424526532791958,0.9172567377183709
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_11,0.2841942629900419,0.7770552272724291
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_12,-0.4040191764425573,0.6873638724387129
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_13,0.28891357586532385,0.9294230446765913
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_14,0.6174231611720606,0.5388509717337369
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_15,0.34254133071742854,0.9899336096975401
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_16,-0.9420902024064792,0.7040747753465921
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_17,0.044063164535009025,0.9649727400920702
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_18,0.2213831979618685,0.9262608890917545
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_19,-0.5259328709909745,0.9408197955540953
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_2,1.3780764217755057,0.3942759332851209
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_20,-0.28678518892704996,0.7750782574870995
