,comp,region_idx,diff,tstat,pvalue,signif
28118,ecc,130,baseline_2_late_learning,-0.6635002235085645,0.5089665576840671,0
28121,ecc,130,early_learning_2_late_learning,-0.9568957111039245,0.34157641159980434,0
28126,ecc,131,baseline_2_early_learning,-0.5481275406060315,0.5851696659672797,0
28127,ecc,131,baseline_2_late_learning,-0.049082392639527815,0.9609791006200982,0
28130,ecc,131,early_learning_2_late_learning,0.40734544232562714,0.6848700790424928,0
28135,ecc,132,baseline_2_early_learning,-0.5744987561243312,0.567283591184911,0
28136,ecc,132,baseline_2_late_learning,-1.3480225826160819,0.18155304976663658,0
28139,ecc,132,early_learning_2_late_learning,-0.5468455826926287,0.5860459112818318,0
28144,ecc,133,baseline_2_early_learning,-2.062656453932233,0.04247386861900471,1
28145,ecc,133,baseline_2_late_learning,-1.8254239313151546,0.07176485722119609,0
28148,ecc,133,early_learning_2_late_learning,0.1444737284277153,0.885499045898759,0
28153,ecc,134,baseline_2_early_learning,1.3276453945385438,0.18816780751877074,0
28154,ecc,134,baseline_2_late_learning,-0.23975419780474266,0.8111497504856391,0
28157,ecc,134,early_learning_2_late_learning,-1.4491883897264084,0.1512936410619852,0
28162,ecc,135,baseline_2_early_learning,-1.0822057193333208,0.28249547578903805,0
28163,ecc,135,baseline_2_late_learning,-0.3849108100701699,0.7013510576111737,0
28166,ecc,135,early_learning_2_late_learning,0.5775307553114247,0.5652443892350103,0
28171,ecc,136,baseline_2_early_learning,0.12466923435432359,0.9011061545251526,0
28172,ecc,136,baseline_2_late_learning,-1.4305178611541816,0.15656241423855935,0
28175,ecc,136,early_learning_2_late_learning,-1.3081473935085688,0.19466531191892514,0
28180,ecc,137,baseline_2_early_learning,-0.04167586451700474,0.9668635917483108,0
28181,ecc,137,baseline_2_late_learning,-0.6744919397229375,0.5019928730072432,0
28184,ecc,137,early_learning_2_late_learning,-0.5914404690090858,0.5559355731656901,0
28189,ecc,138,baseline_2_early_learning,-0.5857218440495937,0.559753413733264,0
28190,ecc,138,baseline_2_late_learning,-0.7637297849577594,0.4473323229150199,0
28193,ecc,138,early_learning_2_late_learning,-0.18866890444066106,0.8508423529436064,0
28198,ecc,139,baseline_2_early_learning,-1.2952506228467209,0.19905430997148033,0
28199,ecc,139,baseline_2_late_learning,-0.27097529103429224,0.7871258444576564,0
28202,ecc,139,early_learning_2_late_learning,1.0788839718697305,0.28396450727004335,0
